№ испытания,Модуль сигнала,Тип_измерения,Количество импульсов,Фаза Hor,Фаза Ver,Уровень шума,Азимут,У.М.,Секунда,Дальность (м),Доля сигнала в ВП
1,470.071,1,2,0.0,0.0,102.6937157202669,-6.51467458155211,12.20056688083641,1868.778583675301,2800.056249983641,0.9100602550790508
1,908.17,1,1,0.0,1.570796326794897,83.53321207463173,-26.81698176343954,12.23959848353864,1869.714463049941,3055.921962841972,0.791666314594939
1,1516.59,1,1,1.263075843535316,2.013682666286956,85.71856448795091,27.56004927555284,11.695173895394,1869.770336457293,2940.934510766185,0.6965065166667886
1,5478.08,1,1,0.2084868365787245,-1.07021687500416,89.12351012648908,29.88865789069536,11.72722080052504,1869.798273145088,2912.276979204724,0.9872916418537866
1,1464.07,1,1,1.708077099548274,0.6291916404244401,89.23257943931354,27.54004133510467,11.84271450822278,1869.951924975606,2934.124901378406,0.6197527680898315
1,5779.23,1,1,-2.917333462057455,2.235614561550414,92.90524066387536,29.79564157362963,11.87396659988794,1869.979861663401,2906.192230786259,0.9787479601280824
1,1446.92,1,1,1.846653725446617,0.9908424365324028,87.8424414704054,27.52529423468742,11.97468033442704,1870.105576806123,2928.101408816503,0.6798281264226723
1,6340.48,1,1,-1.471686740167868,-2.535932421291943,96.1515400292143,29.76627673245032,11.93255448139628,1870.147481853696,2900.219784771491,0.9870087558862504
1,1407.26,1,1,-1.397201400906028,-2.113101748628687,95.89373983526558,-26.34518899974775,12.36599026560589,1870.161450213474,3038.310904080476,0.8869504748047565
1,1606.66,1,1,0.4531750061337907,0.7915551822618542,84.16779716742859,27.48994829413774,12.01932549335534,1870.25922863664,2921.720590424658,0.7089663897546682
1,8948.68,1,2,-1.758111696963813,-2.76838345315407,108.5100847114332,29.72927742626152,11.99190737838197,1870.315102043991,2893.195779885746,0.9855964789650968
1,1558.13,1,1,1.570796326794897,1.570796326794897,85.45084890192724,-26.29901266947829,12.47566935831663,1870.315102043991,3038.372159937038,0.9124735244503556
1,1697.97,1,1,-0.0794589163401576,-0.0207354387822108,90.90034838632027,-26.19852631662976,12.53932011887975,1870.468753874508,3033.553365887515,0.9183223526170172
1,1581.23,1,1,1.132032960732883,1.172704949893022,86.58516975530164,27.43928048638105,12.17098899405393,1870.664310752599,2905.416323269811,0.6593247327097083
1,7354.77,1,2,-0.2503002779808646,-0.9810461681497086,97.2620639416088,29.61875766616417,12.12379934150738,1870.720184159951,2876.973187206316,0.9848891326747564
1,571.31,1,1,-2.550052655973103,-2.559368391898259,63.81744647279927,5.423335363164846,10.06801970839092,1871.292886434445,4570.299458070395,0.3587282610078247
1,2382.24,1,2,-1.533607128972845,2.96515300196273,91.16608089392898,27.3431022401789,12.49347104813306,1871.376696529593,2875.870581788205,0.5944170246221677
1,462.69,1,1,1.570796326794897,1.570796326794897,88.50677273942712,5.285487463508786,9.9576601806968,1871.474474984518,4574.209623580919,0.1695512199960808
1,5993.67,1,2,2.181467889082684,0.4875213564506414,101.8132289040113,29.40344717639647,12.45481674231364,1871.544316719888,2843.915443281838,0.9767157639974156
1,2043.82,1,1,1.570796326794897,1.570796326794897,84.9729270039146,-25.3945143004532,12.88691051241937,1871.697968550405,2996.074990981166,0.7789866189129022
1,2465.46,1,2,-0.7973792789972791,-0.6677446165030183,91.62020585096172,27.25212035268482,12.70193975349345,1872.075113978569,2846.671956827116,0.822250101688346
1,2375.03,1,2,1.570796326794897,1.570796326794897,101.4562747893131,29.24686834288057,12.7278519955378,1872.228765809086,2816.452400923331,0.9298408486368464
1,2269.87,1,1,1.570796326794897,1.570796326794897,90.73971903470608,-24.95114064037835,13.13378000244392,1872.368449311585,2975.493023176426,0.5542092648881213
1,1817.41,1,2,-0.285780732566477,0.0069831267127159,98.68393116515678,27.16135864230739,12.97237073135528,1872.745594707988,2818.739286234968,0.8866279102154517
1,1574.56,1,2,1.570796326794897,1.570796326794897,93.32961944468326,29.06583169830328,12.97629108676637,1872.913214898284,2788.836218923419,0.5426816453907161
1,1348.87,1,1,1.570796326794897,1.570796326794897,83.32895499788773,-24.47119120177398,13.38265615021267,1873.038930041005,2954.951892609393,0.2417766333518648
1,1827.61,1,2,2.806318094134185,2.883182284484387,96.42718792889794,27.11772187851271,13.25744572142768,1873.430043797186,2790.612638763709,0.9306087535850124
1,5175.66,1,2,1.570796326794897,1.570796326794897,95.26708705612867,28.82809562883495,13.30760723984701,1873.597663987481,2760.903548331272,0.6447733223616583
