№ испытания,Модуль сигнала,Тип_измерения,Количество импульсов,Фаза Hor,Фаза Ver,Уровень шума,Азимут,У.М.,Секунда,Дальность (м),Доля сигнала в ВП,Тип марсианина
1,908.17,1,1,0.0,1.570796326794897,83.53321207463173,-26.81698176343954,12.23959848353864,1869.714463049941,3055.921962841972,0.791666314594939,0
1,1516.59,1,1,1.263075843535316,2.013682666286956,85.71856448795091,27.56004927555284,11.695173895394,1869.770336457293,2940.934510766185,0.6965065166667886,1
1,5478.08,1,1,0.2084868365787245,-1.07021687500416,89.12351012648908,29.88865789069536,11.72722080052504,1869.798273145088,2912.276979204724,0.9872916418537866,1
1,1464.07,1,1,1.708077099548274,0.6291916404244401,89.23257943931354,27.54004133510467,11.84271450822278,1869.951924975606,2934.124901378406,0.6197527680898315,1
1,5779.23,1,1,-2.917333462057455,2.235614561550414,92.90524066387536,29.79564157362963,11.87396659988794,1869.979861663401,2906.192230786259,0.9787479601280824,1
1,1446.92,1,1,1.846653725446617,0.9908424365324028,87.8424414704054,27.52529423468742,11.97468033442704,1870.105576806123,2928.101408816503,0.6798281264226723,1
1,6340.48,1,1,-1.471686740167868,-2.535932421291943,96.1515400292143,29.76627673245032,11.93255448139628,1870.147481853696,2900.219784771491,0.9870087558862504,1
1,1407.26,1,1,-1.397201400906028,-2.113101748628687,95.89373983526558,-26.34518899974775,12.36599026560589,1870.161450213474,3038.310904080476,0.8869504748047565,0
1,1606.66,1,1,0.4531750061337907,0.7915551822618542,84.16779716742859,27.48994829413774,12.01932549335534,1870.25922863664,2921.720590424658,0.7089663897546682,1
1,8948.68,1,2,-1.758111696963813,-2.76838345315407,108.5100847114332,29.72927742626152,11.99190737838197,1870.315102043991,2893.195779885746,0.9855964789650968,1
1,444.24,1,1,1.570796326794897,1.570796326794897,84.39783426356745,-23.99898562313439,13.5826947491406,1873.709410770424,2934.870180966574,0.3901749226240506,0
1,2069.22,1,2,-0.1123411982283578,-0.5810661137337144,94.27554784863358,27.02798421373048,13.53694949385434,1874.100524526606,2762.669758862135,0.9953563086926772,1
1,237.07,1,2,1.570796326794897,1.570796326794897,93.60130118753692,9.192782183762676,12.05061076835395,1874.170366293736,2800.413575813585,0.3185839862250622,1
1,9349.54,1,2,1.570796326794897,1.570796326794897,98.30516318789364,28.62719645086904,13.59341003460061,1874.282113076679,2733.705948017865,0.5063330555566794,1
1,632.5,1,2,1.570796326794897,1.570796326794897,95.3245963301634,8.969803637282979,12.337459769485,1874.351954812049,2796.758643038735,0.3468232282335297,1
1,1219.12,1,2,1.570796326794897,1.570796326794897,95.50109030909752,8.727454709926132,12.76014908761593,1874.519575002344,2793.665222282369,0.3970389189060308,1
1,1649.16,1,1,1.570796326794897,1.570796326794897,86.69423906812608,-23.27223141253759,13.78872019070255,1874.673226832861,2906.314742499383,0.5012938116925981,0
1,1782.99,1,2,1.570796326794897,1.570796326794897,98.63038804795204,8.093212426598182,12.87429970290058,1875.287834186689,2776.656512777062,0.0897252785293082,1
1,3215.76,1,2,1.570796326794897,1.570796326794897,100.1652907411545,-22.8007319838835,14.05692512225461,1875.343707562281,2886.416798426249,0.6771547351200113,0
1,2480.75,1,2,1.570796326794897,1.570796326794897,92.30833406096332,26.79945257355925,14.03731009009372,1875.469422705002,2706.538975632739,0.8087198451110941,1
1,2973.66,4,1,1.871442723765495,3.006351052675527,78.32763123528248,-21.78094766238566,14.47628270715237,1876.726574100454,2846.130863427486,0.902648879917888,0
1,3298.87,4,1,-0.5429092965516109,0.5758076431707564,89.22464712565356,-21.77795195891457,14.47751204008857,1876.740542428472,2846.01856102379,0.7708159411785523,0
1,3330.25,4,1,-0.1855604126072493,0.9748542347598248,65.48124926297604,-21.75673368983886,14.48616982103249,1876.768479148028,2845.212025579061,0.812967354980521,0
1,3188.69,4,1,-1.862297014378392,-0.7206828031517443,86.98575159512964,-21.75373825976147,14.48739867764749,1876.768479148028,2845.089513865938,0.8245548284142626,0
1,3225.31,4,1,-2.806942827468917,-1.656700976919695,88.9152868929151,-21.75074345295867,14.48863319403489,1876.768479148028,2844.977211462241,0.7588219399322942,0
1,3553.21,4,1,3.089755532140055,-2.08398342960574,88.60592666017664,-21.74768518023808,14.48986973569794,1876.768479148028,2844.864909058545,0.7735508465788806,0
1,3477.68,4,1,-3.047346890370024,-1.942167271053874,88.98271155902476,-21.74163223859532,14.49234055327576,1876.782447476046,2844.630094941725,0.8225416765930081,0
1,2228.28,4,1,1.570796326794897,1.570796326794897,79.73561690992551,26.59817746025414,14.63704408119605,1876.852289243176,2649.295377675806,0.7436032051784355,1
1,2379.93,4,1,-1.237778801456076,0.7866640786702896,85.30608417763297,26.59759320693119,14.63865361744916,1876.866257571193,2649.142238034402,0.6879991950534208,1
1,2394.17,4,1,-0.2481605070599965,1.816878290654424,79.77726155664031,26.5963605410498,14.64188811721483,1876.866257571193,2648.825749442166,0.754272918846212,1
1,2271.19,4,1,2.229737764144083,-2.026376264353862,81.54220134598158,26.59577708081301,14.64350332507292,1876.866257571193,2648.672609800763,0.7664718441875088,1
1,2482.54,4,1,-2.425216536865042,-0.2033509115612159,85.82366764394538,26.59460946336788,14.64672801990621,1876.880225930971,2648.356121208526,0.7192721246112868,1
1,2507.0,4,1,0.1869227298027157,2.322775552391735,81.73654303065062,26.59097709012281,14.65642141406796,1876.908162618767,2647.416864741247,0.7238772013392417,1
1,2097.09,4,1,3.018191448443651,-1.103542447587489,88.21129405559358,26.59039377436469,14.65803654782047,1876.908162618767,2647.253515790416,0.7000228407474369,1
1,2266.26,4,1,-0.3012129852268021,1.619653835506261,79.95573861398944,26.58980972890078,14.6596459772218,1876.908162618767,2647.100376149011,0.7010494933099248,1
1,2408.95,4,1,2.755377961747893,-1.421377646975148,85.51034125437695,26.58922644525581,14.66126109465029,1876.908162618767,2646.947236507607,0.7512430323757187,1
1,2460.72,4,1,-0.4210342248726521,1.747460560567453,87.87218764663027,26.58805918023473,14.66448560887823,1876.922130978545,2646.630747915372,0.6724063981425976,1
1,2329.5,4,1,-0.1793384640966968,1.937094863021907,84.30859573489289,26.58741099151571,14.66611045288984,1876.922130978545,2646.477608273967,0.7093551438682655,1
1,2190.08,4,1,-3.039894102054079,-0.8783688792722946,78.53783754727145,26.58682702595286,14.66771984130385,1876.936099338323,2646.314259323136,0.7002350469669189,1
1,2410.16,4,1,0.6878841463238267,2.748035137327319,83.64823062270116,26.58624382252092,14.66933491766183,1876.936099338323,2646.161119681731,0.7193322381093757,1
1,2169.09,4,1,0.2196533885505959,2.361684691756719,86.72001908752097,26.58267774599408,14.67901786541383,1876.950067666341,2645.221863214451,0.7811825128839314,1
1,2383.59,4,1,-1.420337200340722,0.6872114762932622,86.82710532193043,26.58144587905682,14.68225194764289,1876.964036026119,2644.905374622216,0.6903146843097167,1
1,15123.54,1,2,1.789087492692142,-2.515971618491008,108.4823216136233,27.8302961449186,14.74673049234487,1877.01990940171,2624.650104719139,0.5330376531169263,1
1,4608.34,1,2,1.570796326794897,1.570796326794897,98.76325430175638,-21.27892540316774,14.67105359842736,1877.383086470096,2827.560129579857,0.8326007089631758,0
1,1528.06,1,1,1.570796326794897,1.570796326794897,86.35314958074778,8.207159755875727,8.644233293849439,1877.466896565244,3304.712624267423,0.8734344984401133,1
1,1912.72,1,1,-1.321521172382044,-1.473006835672401,87.34667186665786,8.094873675994624,8.57662865540807,1877.648485115317,3301.027063564293,0.8417960807429963,1
1,14129.61,1,2,-1.193255597948281,-1.644147938303852,106.322749219699,27.61618534514001,15.0363309255642,1877.69039016289,2597.891504711091,0.5725589142440419,1
1,9670.48,4,1,2.854065012073596,2.965143118710812,97.43657484212794,27.60562970444735,15.05078700408279,1877.732295210464,2596.584713104442,0.619357971202545,1
1,8421.71,4,1,-2.891310658799515,-2.802258057219047,92.70891590079133,27.60438964033484,15.05244363203011,1877.732295210464,2596.441782772463,0.7746247155590519,1
1,8701.54,4,1,-2.455409460053864,-2.340781386471318,100.5916526003773,27.60321511784003,15.05409007500518,1877.732295210464,2596.288643131059,0.7848240458710282,1
1,8672.0,4,1,-1.57818664238801,-1.487163525793323,88.34614338781292,27.60197508854929,15.05574667142566,1877.732295210464,2596.145712799082,0.6931119303157146,1
1,8596.25,4,1,-0.6802924854572515,-0.5577910734175007,92.56613425491204,27.59956060591606,15.0590496488768,1877.746263538482,2595.839433516273,0.6545739377181832,1
1,9905.83,4,1,2.244110695011877,2.368563062607702,95.61214270033696,27.59838535233395,15.06069034500412,1877.746263538482,2595.696503184296,0.5585060619399992,1
1,8982.46,4,1,-2.251687278373109,-2.13278528978223,94.90220062777048,27.59714539258587,15.06234687841166,1877.746263538482,2595.543363542892,0.5984188844168002,1
1,9266.2,4,1,-0.2136258400386249,-0.1037043098705777,93.88686447929553,27.59597097303466,15.06399323014843,1877.76023189826,2595.400433210915,0.6116255455589517,1
